Category,Guidance,Description,Priority,Size,Timeframe,Status,Existing guide,p&p SME,CAT reviewer,Contacts,Writer,Note
Security and Identity,Federated Identity ,"Managing user identity in enterprise. AAD, AD on VM and ADFS",,M (2 weeks),Q4-FY15,Draft,,Carlos,,Vittorio,Alex,AD moved here
,Federated Identity using social media IDP,Authentication for B2C scenario. SNS-ID (with or w/o AAD-B2C),,M,,,,,,Vittorio,,
,API Security,authentication guideline for Web API,,M,Q1-FY15,Will publish on azure.com,,Carlos,,Vittorio,Alex,Added by Masashi
,Data masking and encryption,"Masking and encrypting sensitive data in various storages, key management",,M,,,,,,,,Added masking
,Device Identity,Device identity in IoT scenario such as ucode etc.,,S (1 week),,,,,,,,IoT team will work on it
Networking and Connectivity,VPN,Connect corpnet resources to Azure,,,,,,,,Ganesh,,Find SMEs
,VNET,"Designing secure and robust network topology using VNET, ExpressRoute for IaaS and Hybrid",,,,,,,,Ganesh,,Find SMEs
,Load balancing and Affinity,"Stateless service running behind LB. Configuring timeout. ARR, sticky sessions",,,,,,,,Ganesh,,Find SMEs
,IPv6,TBD,,,,,,,,,,Find SMEs
,DRIP,Conforming to DRIP regulation?,,,,,,,,,,Find SMEs
,Cross platform connectivity,TBD,,,,,,,,,,Find SMEs
,"Messaging (TCP, UDP, etc.)",Message transport/encoding/exchange,,M,,,,,,,,Web API is one instance of messaging. (TCP-HTTP/Json/ req-res)
Communication and Messaging,DDOS mitigation,What Azure offers and how to implement it.,,S,,,,,,,,
,Inter process communication,"intra/inter-service communication (message exchange patterns, encodign approaches, security, auditing, telemetry)",P1,M,Q3-FY15,,,,,,,
,Front door / request routing,Pass through requests or redirect clients to specific instance. Pros/Cons,,S,,,,,,,,
,Notifications,"Broadcasting or 1:1 push notification to users/devices using SignalR, Notification-Hub or Mobile services",,S,,,,,,Clemens,,
,Queueing,"1:1, multi-cast, bi-directional, idempotency, order of msg, dead-lettering, security. Options(Basic, Std, Storage)",,S,,,Async messaging primer,,,Clemens,,
,Serialization,Serializing messages. Avro/Protocol Buffers. Benchmarks,,S,,,IoT team will work on this,,,Clemens,,
